Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(194288k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-18T10:13:03.194-0800: 0.132: [GC (Allocation Failure) [PSYoungGen: 131051K->21499K(153088K)] 131051K->43123K(502784K), 0.0107445 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.224-0800: 0.161: [GC (Allocation Failure) [PSYoungGen: 153083K->21487K(153088K)] 174707K->79270K(502784K), 0.0134793 secs] [Times: user=0.03 sys=0.07, real=0.01 secs] 
2021-01-18T10:13:03.253-0800: 0.190: [GC (Allocation Failure) [PSYoungGen: 153071K->21502K(153088K)] 210854K->124222K(502784K), 0.0131994 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.281-0800: 0.218: [GC (Allocation Failure) [PSYoungGen: 153086K->21503K(153088K)] 255806K->169714K(502784K), 0.0140439 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.310-0800: 0.247: [GC (Allocation Failure) [PSYoungGen: 153087K->21502K(153088K)] 301298K->215206K(502784K), 0.0142429 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.340-0800: 0.277: [GC (Allocation Failure) [PSYoungGen: 152335K->21497K(80384K)] 346039K->251439K(430080K), 0.0121129 secs] [Times: user=0.04 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.359-0800: 0.296: [GC (Allocation Failure) [PSYoungGen: 80328K->35573K(116736K)] 310271K->270261K(466432K), 0.0048042 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.372-0800: 0.310: [GC (Allocation Failure) [PSYoungGen: 94226K->46222K(116736K)] 328915K->288461K(466432K), 0.0078219 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.390-0800: 0.327: [GC (Allocation Failure) [PSYoungGen: 104937K->54918K(116736K)] 347175K->304579K(466432K), 0.0078496 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2021-01-18T10:13:03.408-0800: 0.346: [GC (Allocation Failure) [PSYoungGen: 113778K->37324K(116736K)] 363439K->320207K(466432K), 0.0123920 secs] [Times: user=0.03 sys=0.05, real=0.02 secs] 
2021-01-18T10:13:03.430-0800: 0.367: [GC (Allocation Failure) [PSYoungGen: 96204K->25487K(116736K)] 379087K->343012K(466432K), 0.0118960 secs] [Times: user=0.03 sys=0.04, real=0.01 secs] 
2021-01-18T10:13:11.504-0800: 8.442: [Full GC (Ergonomics) [PSYoungGen: 58851K->17827K(116736K)] [ParOldGen: 349449K->349558K(349696K)] 408301K->367385K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0432812 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.557-0800: 8.494: [Full GC (Ergonomics) [PSYoungGen: 58739K->14076K(116736K)] [ParOldGen: 349558K->349433K(349696K)] 408297K->363509K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0426055 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:11.609-0800: 8.547: [Full GC (Ergonomics) [PSYoungGen: 58851K->16789K(116736K)] [ParOldGen: 349433K->349437K(349696K)] 408284K->366227K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0408833 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:11.660-0800: 8.597: [Full GC (Ergonomics) [PSYoungGen: 58843K->18354K(116736K)] [ParOldGen: 349437K->349463K(349696K)] 408281K->367817K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0458511 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.715-0800: 8.652: [Full GC (Ergonomics) [PSYoungGen: 58508K->17482K(116736K)] [ParOldGen: 349463K->349613K(349696K)] 407971K->367095K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0440721 secs] [Times: user=0.31 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:11.768-0800: 8.705: [Full GC (Ergonomics) [PSYoungGen: 58683K->14981K(116736K)] [ParOldGen: 349613K->349500K(349696K)] 408297K->364482K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0422803 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:11.820-0800: 8.758: [Full GC (Ergonomics) [PSYoungGen: 58880K->19272K(116736K)] [ParOldGen: 349500K->349116K(349696K)] 408380K->368389K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0444250 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.875-0800: 8.812: [Full GC (Ergonomics) [PSYoungGen: 58724K->17416K(116736K)] [ParOldGen: 349116K->349340K(349696K)] 407841K->366756K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0426735 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.927-0800: 8.864: [Full GC (Ergonomics) [PSYoungGen: 58639K->18209K(116736K)] [ParOldGen: 349340K->349490K(349696K)] 407980K->367699K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413796 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.978-0800: 8.915: [Full GC (Ergonomics) [PSYoungGen: 58880K->22332K(116736K)] [ParOldGen: 349490K->349474K(349696K)] 408370K->371807K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0447789 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.031-0800: 8.968: [Full GC (Ergonomics) [PSYoungGen: 58880K->23849K(116736K)] [ParOldGen: 349474K->349448K(349696K)] 408354K->373297K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0457270 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.084-0800: 9.022: [Full GC (Ergonomics) [PSYoungGen: 58880K->23749K(116736K)] [ParOldGen: 349448K->349453K(349696K)] 408328K->373203K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0411591 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.135-0800: 9.072: [Full GC (Ergonomics) [PSYoungGen: 58821K->21746K(116736K)] [ParOldGen: 349453K->349332K(349696K)] 408274K->371079K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0411671 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:12.184-0800: 9.122: [Full GC (Ergonomics) [PSYoungGen: 58824K->22857K(116736K)] [ParOldGen: 349332K->349491K(349696K)] 408156K->372349K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419773 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.235-0800: 9.172: [Full GC (Ergonomics) [PSYoungGen: 58779K->23349K(116736K)] [ParOldGen: 349491K->349534K(349696K)] 408271K->372883K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0422537 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.284-0800: 9.221: [Full GC (Ergonomics) [PSYoungGen: 58880K->24232K(116736K)] [ParOldGen: 349534K->349560K(349696K)] 408414K->373792K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0426000 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:12.335-0800: 9.272: [Full GC (Ergonomics) [PSYoungGen: 58756K->23559K(116736K)] [ParOldGen: 349560K->349573K(349696K)] 408316K->373132K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0457034 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.389-0800: 9.326: [Full GC (Ergonomics) [PSYoungGen: 58755K->23604K(116736K)] [ParOldGen: 349573K->349583K(349696K)] 408328K->373188K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0423890 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.440-0800: 9.377: [Full GC (Ergonomics) [PSYoungGen: 58847K->25658K(116736K)] [ParOldGen: 349583K->349151K(349696K)] 408430K->374810K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419010 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:12.490-0800: 9.427: [Full GC (Ergonomics) [PSYoungGen: 58880K->23335K(116736K)] [ParOldGen: 349151K->349634K(349696K)] 408031K->372969K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0451240 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.543-0800: 9.481: [Full GC (Ergonomics) [PSYoungGen: 58818K->24981K(116736K)] [ParOldGen: 349634K->349536K(349696K)] 408452K->374518K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0444364 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.597-0800: 9.534: [Full GC (Ergonomics) [PSYoungGen: 58813K->23091K(116736K)] [ParOldGen: 349536K->349257K(349696K)] 408350K->372349K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0436539 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:12.648-0800: 9.586: [Full GC (Ergonomics) [PSYoungGen: 58858K->25821K(116736K)] [ParOldGen: 349257K->349128K(349696K)] 408116K->374950K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0429502 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.699-0800: 9.637: [Full GC (Ergonomics) [PSYoungGen: 58880K->25482K(116736K)] [ParOldGen: 349128K->349204K(349696K)] 408008K->374687K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0438069 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.750-0800: 9.688: [Full GC (Ergonomics) [PSYoungGen: 58880K->25395K(116736K)] [ParOldGen: 349204K->349072K(349696K)] 408084K->374468K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0440864 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:12.803-0800: 9.740: [Full GC (Ergonomics) [PSYoungGen: 58880K->24569K(116736K)] [ParOldGen: 349072K->349586K(349696K)] 407952K->374156K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0465752 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:12.857-0800: 9.794: [Full GC (Ergonomics) [PSYoungGen: 58872K->24693K(116736K)] [ParOldGen: 349586K->348712K(349696K)] 408458K->373405K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0435949 secs] [Times: user=0.31 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:12.909-0800: 9.846: [Full GC (Ergonomics) [PSYoungGen: 58847K->24694K(116736K)] [ParOldGen: 348712K->349209K(349696K)] 407559K->373903K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0439615 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:12.960-0800: 9.897: [Full GC (Ergonomics) [PSYoungGen: 58665K->25951K(116736K)] [ParOldGen: 349209K->349519K(349696K)] 407874K->375470K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0465478 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:13.015-0800: 9.952: [Full GC (Ergonomics) [PSYoungGen: 58880K->27677K(116736K)] [ParOldGen: 349519K->349118K(349696K)] 408399K->376796K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0464236 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:13.068-0800: 10.006: [Full GC (Ergonomics) [PSYoungGen: 58880K->29288K(116736K)] [ParOldGen: 349118K->349124K(349696K)] 407998K->378412K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0425245 secs] [Times: user=0.27 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:13.118-0800: 10.055: [Full GC (Ergonomics) [PSYoungGen: 58794K->31044K(116736K)] [ParOldGen: 349124K->348842K(349696K)] 407918K->379887K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0427125 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
Heap
 PSYoungGen      total 116736K, used 33036K [0x00000007b5580000, 0x00000007c0000000, 0x00000007c0000000)
  eden space 58880K, 56% used [0x00000007b5580000,0x00000007b75c32f8,0x00000007b8f00000)
  from space 57856K, 0% used [0x00000007bc780000,0x00000007bc780000,0x00000007c0000000)
  to   space 57856K, 0% used [0x00000007b8f00000,0x00000007b8f00000,0x00000007bc780000)
 ParOldGen       total 349696K, used 348842K [0x00000007a0000000, 0x00000007b5580000, 0x00000007b5580000)
  object space 349696K, 99% used [0x00000007a0000000,0x00000007b54aa9d8,0x00000007b5580000)
 Metaspace       used 2587K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 278K, capacity 386K, committed 512K, reserved 1048576K
